scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Cupha prosope,1,2020,8,Queensland,Nymphalidae,Cupha,-17.31235,145.58718
Junonia hedonia,1,2022,10,Queensland,Nymphalidae,Junonia,-12.33784,141.91702
Hypolimnas bolina,1,2022,4,New South Wales,Nymphalidae,Hypolimnas,-33.55437,150.68318
Eurema hecabe,2,2022,10,Queensland,Pieridae,Eurema,-21.4058,148.5448
Theclinesthes miskini,11,2020,4,Queensland,Lycaenidae,Theclinesthes,-17.4,145.4
Trapezites maheta,1,2020,10,Queensland,Hesperiidae,Trapezites,-27.53906,153.06595
Belenois java,1,2021,12,Queensland,Pieridae,Belenois,-27.53794,153.06435
Papilio (Princeps) aegeus,2,2022,9,Queensland,Papilionidae,Papilio,-19.97861,148.25969
Hypolimnas bolina,1,2022,3,Queensland,Nymphalidae,Hypolimnas,-17.31248,145.58738
Eurema hecabe,1,2020,4,Queensland,Pieridae,Eurema,-23.31114,150.51894
Delias nigrina,3,2022,7,New South Wales,Pieridae,Delias,-29.69572,152.94042
Heteronympha merope,4,2023,1,New South Wales,Nymphalidae,Heteronympha,-33.64219,151.1261
Candalides,4,2020,12,Queensland,Lycaenidae,Candalides,-13.966844,143.191746
Danaus petilia,4,2020,3,Queensland,Nymphalidae,Danaus,-28.16567,153.46613
Delias nigrina,6,2020,8,Queensland,Pieridae,Delias,-17.31143,145.58881
Nacaduba biocellata,1,2021,11,Victoria,Lycaenidae,Nacaduba,-36.392494,142.053864
Deudorix diovis,1,2020,4,Queensland,Lycaenidae,Deudorix,-17.3788,145.38465
Belenois java,4,2022,10,Australian Capital Territory,Pieridae,Belenois,-35.31391,149.16181
Jalmenus evagoras,1,2021,2,New South Wales,Lycaenidae,Jalmenus,-30.48346,151.73708
Papilio (Eleppone) anactus,4,2020,3,Queensland,Papilionidae,Papilio,-28.16567,153.46613
Heteronympha merope,4,2020,1,Victoria,Nymphalidae,Heteronympha,-38.63954,143.886
Famegana,1,2020,6,Queensland,Lycaenidae,Famegana,-17.5203,145.4353
Catopsilia scylla,3,2019,10,Queensland,Pieridae,Catopsilia,-13.967291,143.191975
Hesperilla crypsigramma,3,2020,12,Queensland,Hesperiidae,Hesperilla,-13.966844,143.191746
Belenois java,1,2020,9,New South Wales,Pieridae,Belenois,-31.2617,148.95922
Appias paulina,1,2022,12,New South Wales,Pieridae,Appias,-30.27026,153.14328
Graphium choredon,1,2021,2,Queensland,Papilionidae,Graphium,-26.41033,153.05556
Papilio (Princeps) fuscus,1,2022,3,New South Wales,Papilionidae,Papilio,-29.4302,153.3252
Phaedyma shepherdi,1,2022,5,New South Wales,Nymphalidae,Phaedyma,-30.653363,152.920132
Delias harpalyce,1,2022,5,New South Wales,Pieridae,Delias,-30.47751,151.7396
Cupha prosope,2,2020,3,Queensland,Nymphalidae,Cupha,-17.31323,145.586
Zizina otis,50,2022,10,Queensland,Lycaenidae,Zizina,-27.53873,153.06625
Heteronympha merope,5,2020,1,Victoria,Nymphalidae,Heteronympha,-38.6396,143.88837
Euploea corinna,1,2020,3,Queensland,Nymphalidae,Euploea,-26.53432,153.09023
Papilio (Princeps) aegeus,3,2022,12,Queensland,Papilionidae,Papilio,-27.31815,153.05523
Pieris rapae,3,2019,11,Australian Capital Territory,Pieridae,Pieris,-35.2389,149.16237
Ornithoptera priamus,5,2022,3,Queensland,Papilionidae,Ornithoptera,-12.7131,143.2983
Mycalesis perseus,6,2022,6,Queensland,Nymphalidae,Mycalesis,-17.7514,146.0788
Hypocysta metirius,4,2022,12,New South Wales,Nymphalidae,Hypocysta,-33.2049,151.551
Charaxes sempronius,3,2023,3,New South Wales,Nymphalidae,Charaxes,-28.83096,153.59637
Eurema herla,6,2020,3,Queensland,Pieridae,Eurema,-17.51744,145.43437
Zizeeria karsandra,1,2023,8,Queensland,Lycaenidae,Zizeeria,-17.45104,140.83867
Papilio (Princeps) aegeus,1,2021,9,Queensland,Papilionidae,Papilio,-21.1698,148.5131
Graphium agamemnon,1,2020,5,Queensland,Papilionidae,Graphium,-16.814,145.6458
Acraea andromacha,1,2021,4,Queensland,Nymphalidae,Acraea,-27.40064,153.02942
Zizina otis,3,2023,1,Queensland,Lycaenidae,Zizina,-27.33289,152.76309
Catopsilia pomona,5,2022,10,Queensland,Pieridae,Catopsilia,-17.31156,145.58877
Danaus plexippus,1,2019,12,Queensland,Nymphalidae,Danaus,-27.50539,153.07824
Heteronympha merope,1,2021,12,New South Wales,Nymphalidae,Heteronympha,-34.43001,150.13041
Euploea corinna,1,2020,2,Queensland,Nymphalidae,Euploea,-27.53288,153.05364
Tellervo zoilus,2,2022,9,Queensland,Nymphalidae,Tellervo,-17.31164,145.5891
Delias nigrina,3,2022,8,Queensland,Pieridae,Delias,-16.2073,144.9803
Cephrenes augiades,2,2023,3,Victoria,Hesperiidae,Cephrenes,-37.83071,144.98265
Tellervo zoilus,1,2020,9,Queensland,Nymphalidae,Tellervo,-17.3127,145.5875
Suniana sunias,1,2020,10,Queensland,Hesperiidae,Suniana,-27.54397,153.06121
Telicota augias,1,2023,4,Queensland,Hesperiidae,Telicota,-17.31246,145.58723
Eurema hecabe,2,2020,4,Queensland,Pieridae,Eurema,-26.4104,153.05559
